loss,rpn_class_loss,rpn_bbox_loss,mrcnn_class_loss,mrcnn_bbox_loss,mrcnn_mask_loss,val_loss,val_rpn_class_loss,val_rpn_bbox_loss,val_mrcnn_class_loss,val_mrcnn_bbox_loss,val_mrcnn_mask_loss
1.9781,0.3827,0.9609,0.1705,0.2087,0.2553,2.2359,0.161,0.5315,0.6036,0.3711,0.5686
1.8658,0.3587,0.9133,0.1394,0.2064,0.2479,2.2164,0.1449,0.5494,0.5831,0.3752,0.5639
1.8903,0.3647,0.8808,0.1326,0.2364,0.2757,2.2571,0.1651,0.5314,0.6023,0.3852,0.5731
1.9799,0.3083,0.8852,0.1511,0.2969,0.3384,2.209,0.1269,0.4988,0.6245,0.3954,0.5633
2.1563,0.4051,1.0185,0.167,0.2635,0.3022,2.2952,0.1865,0.5345,0.6052,0.3902,0.5788
1.9849,0.3768,0.8712,0.1723,0.2807,0.2839,2.2897,0.1735,0.5104,0.6316,0.3982,0.5761
2.0686,0.3476,0.9843,0.1533,0.2866,0.2968,2.1706,0.1081,0.5043,0.6041,0.3857,0.5683
1.8568,0.3589,0.9142,0.1008,0.228,0.2548,2.3051,0.1601,0.57,0.6134,0.4012,0.5604
2.0298,0.3606,0.9294,0.1624,0.2762,0.3012,2.299,0.177,0.5219,0.6371,0.3996,0.5635
2.0262,0.3737,1.0497,0.1434,0.1969,0.2625,2.2786,0.1425,0.5057,0.6575,0.3986,0.5744
1.9902,0.3746,0.8622,0.1693,0.2756,0.3085,2.2915,0.1711,0.546,0.6231,0.3871,0.5641
2.1076,0.3808,0.9332,0.1917,0.272,0.33,2.2701,0.1624,0.5519,0.6071,0.3877,0.5611
2.0296,0.3714,0.9212,0.1393,0.2879,0.3097,2.3655,0.1687,0.5563,0.6576,0.4162,0.5667
1.9206,0.3642,0.9573,0.14,0.2259,0.2332,2.258,0.1559,0.5511,0.6277,0.372,0.5513
2.0122,0.3514,0.905,0.1649,0.2628,0.328,2.2159,0.1493,0.5436,0.5948,0.3783,0.55
1.9566,0.3484,1.019,0.1326,0.205,0.2516,2.142,0.1486,0.5302,0.537,0.3799,0.5462
2.0308,0.35,1.0001,0.127,0.2601,0.2937,2.1776,0.1417,0.5112,0.577,0.3904,0.5573
2.0541,0.372,0.929,0.1438,0.2926,0.3167,2.2269,0.1893,0.5007,0.6007,0.3874,0.5487
2.1515,0.3199,0.92,0.2443,0.3117,0.3556,2.2099,0.1333,0.527,0.6067,0.3982,0.5447
1.937,0.3282,0.8599,0.1418,0.3082,0.2989,2.1596,0.1212,0.4892,0.6171,0.3832,0.5489
1.6883,0.3983,0.9715,0.0739,0.1052,0.1394,2.3237,0.213,0.5787,0.5759,0.4032,0.5529
1.9967,0.3748,1.1068,0.0939,0.1871,0.2341,2.2434,0.1607,0.5309,0.5958,0.3989,0.557
1.8104,0.3587,0.8325,0.1096,0.2493,0.2603,2.1793,0.1255,0.5312,0.5906,0.3796,0.5525
2.243,0.3661,1.076,0.1477,0.3271,0.3261,2.1973,0.1564,0.5639,0.5759,0.361,0.5401
1.9799,0.369,0.9871,0.0953,0.2613,0.2672,2.134,0.1829,0.5086,0.5462,0.3516,0.5447
1.9924,0.3439,0.8266,0.1865,0.2677,0.3678,2.1909,0.1433,0.5069,0.5879,0.4042,0.5487
1.8453,0.3494,0.8404,0.1256,0.2564,0.2735,2.3463,0.1362,0.6004,0.6122,0.4674,0.5301
2.0818,0.3498,0.9211,0.1879,0.3209,0.3021,2.3884,0.1622,0.6229,0.6805,0.3984,0.5244
1.9093,0.3165,0.9072,0.1786,0.2344,0.2725,2.2838,0.1369,0.5769,0.6561,0.3771,0.5368
1.9002,0.3839,0.8193,0.1536,0.2788,0.2647,2.2174,0.1513,0.5444,0.6108,0.37,0.5409
2.1394,0.3408,0.9601,0.1835,0.3014,0.3536,2.1983,0.1469,0.5198,0.5924,0.3954,0.5438
1.9739,0.3797,0.9536,0.13,0.2395,0.2711,2.2227,0.1726,0.5335,0.5517,0.4168,0.5481
1.9803,0.3501,0.9767,0.0998,0.281,0.2728,2.1755,0.1507,0.493,0.5987,0.3894,0.5437
2.0459,0.3861,1.0001,0.1726,0.2348,0.2523,2.0565,0.1687,0.494,0.5118,0.3461,0.5358
1.8405,0.3947,1.0027,0.094,0.1541,0.1949,2.0319,0.1682,0.5068,0.4549,0.3633,0.5387
1.9,0.3757,0.7926,0.1366,0.2784,0.3167,2.0808,0.1287,0.5321,0.5346,0.3522,0.5332
1.9264,0.3789,0.9289,0.1447,0.2025,0.2713,2.0858,0.1885,0.5188,0.4982,0.3511,0.5291
1.712,0.366,0.9111,0.0755,0.1534,0.206,2.1434,0.1736,0.5459,0.5546,0.3538,0.5155
1.9665,0.3039,0.7619,0.1895,0.3443,0.3669,2.1098,0.1267,0.5328,0.5718,0.3639,0.5146
1.9776,0.4545,0.8711,0.1233,0.2735,0.2552,2.1944,0.1833,0.5735,0.5508,0.3608,0.5259
1.9659,0.401,0.9012,0.1279,0.2506,0.2851,2.1946,0.2045,0.5438,0.564,0.36,0.5222
2.0736,0.4081,1.0151,0.1214,0.2223,0.3067,2.1709,0.1338,0.545,0.6122,0.3631,0.5167
2.0131,0.3443,0.9691,0.1994,0.2329,0.2674,2.2131,0.154,0.5595,0.6061,0.3644,0.5292
1.9445,0.3371,0.9071,0.1596,0.2657,0.275,2.119,0.1509,0.5359,0.5676,0.3486,0.5159
1.9653,0.3658,0.8792,0.1602,0.2372,0.323,2.0313,0.1486,0.4976,0.5152,0.3481,0.5218
1.6593,0.3386,0.791,0.0952,0.195,0.2395,2.0608,0.1497,0.5164,0.5122,0.3649,0.5176
1.871,0.3458,0.8952,0.1384,0.2205,0.271,2.1718,0.1378,0.5863,0.5759,0.366,0.5057
2.1552,0.3858,0.953,0.1699,0.3178,0.3288,2.0492,0.1665,0.4623,0.5482,0.362,0.5101
